,description,image,tag,Left,Right,Violence,Apathy
0,"Black American racial experience is real. We support the 2nd ammendment
for our safety.",https://mith.umd.edu/irads/files/original/f2553aadda4c253205d6f7b019093782.png,2nd Amendment|Black guns matter|civil rights|Fear|race|racial identities|racial tensions|redacted,1,0,1,0
1,"The lawyer for Jay Anderson’s family has disclosed that the deceased never
pointed a gun at the officer prior to the police shooting which caused his
death. The lawyer for Jay Anderson’s family has disclosed that the deceased

never pointed a gun at the officer prior to the police shooting which caused his
death. Police Shooting: Video Revealed Jay Anderson Didn’t Hold Gun | BM
blackmattersus.com",https://mith.umd.edu/irads/files/original/5cdc61848fdb54224c1a4802951cffed.png,black|BM|brown|civil rights|crime|darkness and light|gun|meme|photograph|police brutality|race|racial tensions|Surprise,1,0,1,0
2,"Black American racial experience is real. We support the 2nd ammendment
for our safety.",https://mith.umd.edu/irads/files/original/df8a84d253081cae536b12050dba1aa3.png,2nd Amendment|Anger|black|Black guns matter|blacklivesmatter|civil rights|equality|Fear|freedom|justice|liberty|police brutality|race|racial identities|racial tensions|Sadness|security|text,1,0,1,0
3,"Do everything in your power to Change the society we live in and fight to
protect our Children.",https://mith.umd.edu/irads/files/original/1ed3e6787194d571b39961322bc7dcb0.png,black|blacklivesmatter|blue|BM|civil rights|Fear|guns|illustration|police brutality|race|racial tensions|red|Sadness|text|white,1,0,1,0
4,"Cops shot and killed a bipolar Black women, Michelle Lee Shirley, following a

police Chase in Torrance, California. Bipolar Black Woman Killed By Cops
After Car Chase | BM BM",https://mith.umd.edu/irads/files/original/4ea4cf8ec8a2f2722b8a80b3d7b9fed9.png,black|BM|crime|Fear|guns|photograph|police brutality|racial identities|racial tensions|Sadness,1,0,1,0
5,"We are black and we support the 2nd Ammendment! Join us, if seIf-defense

is your priority!",https://mith.umd.edu/irads/files/original/3ad91803ecde5335088489b5dc0fa54b.png,2nd Amendment|black|Black guns matter|gun|text,1,0,1,0
8,"Black American racial experience is real. We support the 2nd ammendment
for our safety.",https://mith.umd.edu/irads/files/original/f72c90ef0c9e2c1e87cafa81dd33a38e.png,2nd Amendment|black|Black guns matter|gun|text,1,0,1,0
9,"We are black and we support the 2nd Ammendment! Join us, if seIf-defense if
a priority for you.",https://mith.umd.edu/irads/files/original/2b11609cc11489af6f161b613272095e.png,Anger|Black guns matter|civil rights|gun|nation|race|racial identities|racial tensions|redacted,1,0,1,0
10,"Black American racial experience is real. We support the 2nd ammendment
for our safety.",https://mith.umd.edu/irads/files/original/c97caa484e3e9e250b1aa2c60d04980f.png,Anger|Black guns matter|civil rights|gun|nation|race|racial identities|racial tensions|redacted,1,0,1,0
11,"Whether you take part in protests and rallies orjust want to voice your
concerns about police brutality against African Americans you need these
cool t-shirts! Buying our t-shirts you donate to the needs of the Black
Community. BlackMatters is a group of activists advocating for the rights of
African Americans. Buying our t-shirts you donate to the needs of the Black
Community. Black Matters US BM",https://mith.umd.edu/irads/files/original/65ff3bb01652851210e9ebd669040ef8.png,black|blacklivesmatter|BM|civil rights|crime|gun|illustration|nation|police brutality|protester|race|racial identities|red|white,1,0,1,0
