,ID,Topic
0,0,"0.010*""black lives matter"" + 0.003*""black lives matters"" + 0.003*""lives matter join"" + 0.003*""loud black proud"" + 0.003*""lives matters loud"" + 0.003*""matters loud black"" + 0.003*""stay touch latest"" + 0.003*""news black community"" + 0.003*""join stay touch"" + 0.003*""matter join stay"""
1,1,"0.003*""people institutional racism"" + 0.003*""schools white students"" + 0.003*""institutional racism white"" + 0.003*""institutional racism takes"" + 0.003*""mockery black people"" + 0.003*""north dakota mockery"" + 0.003*""racism takes hold"" + 0.003*""racism white students"" + 0.003*""white students slam"" + 0.003*""takes hold schools"""
2,2,"0.025*""black black black"" + 0.016*""biack owned businesses"" + 0.015*""owned business primary"" + 0.015*""primary mission encourage"" + 0.015*""invest biack owned"" + 0.015*""family owned business"" + 0.015*""encourage investment black"" + 0.015*""mission encourage investment"" + 0.015*""dapper black family"" + 0.015*""founder dapper black"""
3,3,"0.002*""join denominational christian"" + 0.002*""denominational christian group"" + 0.002*""hallelujah join denominational"" + 0.001*""black liberation church"" + 0.001*""group black liberation"" + 0.001*""christian group black"" + 0.000*""time american history"" + 0.000*""health care facilities"" + 0.000*""politicians blame poor"" + 0.000*""poses direct threat"""
4,4,"0.008*""knowthyself knowledgeofself whiteliesmatter"" + 0.008*""whiteliesmatter education africanunity"" + 0.008*""knowledgeofself whiteliesmatter education"" + 0.007*""education africanunity blacklove"" + 0.007*""africanunity blacklove justiceorelse"" + 0.007*""blackpride blackpower amerikkka"" + 0.007*""blacklove justiceorelse problack"" + 0.006*""panafricanism africanandproud blackandproud"" + 0.006*""blackandproud blackpride blackpower"" + 0.006*""africanandproud blackandproud blackpride"""
5,5,"0.005*""tasted outrage public"" + 0.005*""racist words went"" + 0.005*""video chanting racist"" + 0.005*""words went viral"" + 0.005*""kids tasted outrage"" + 0.005*""county middle school"" + 0.005*""school kids tasted"" + 0.005*""went viral deepening"" + 0.005*""middle school kids"" + 0.005*""public video chanting"""
6,6,"0.002*""jobs remove country"" + 0.002*""leave tens thousands"" + 0.002*""hard working people"" + 0.002*""harmful lumber alternative"" + 0.002*""harrisburg allentown philly"" + 0.002*""help trump pennsylvania"" + 0.002*""hinged hard working"" + 0.002*""industries note burning"" + 0.002*""insurance vehicles mechanics"" + 0.002*""interests current list"""
7,7,"0.004*""blackpride blackout america"" + 0.004*""blackscience education diversity"" + 0.004*""blackout america blackscience"" + 0.004*""melanin blackpride blackout"" + 0.004*""america blackscience education"" + 0.004*""join seif defense"" + 0.004*""seif defense priority"" + 0.003*""blackcommunity melanin blackpride"" + 0.003*""blackperfection blackbeauty blackbusiness"" + 0.003*""blackexcellence blackperfection blackbeauty"""
8,8,"0.007*""westandtogether unite justice"" + 0.007*""black melanin blackgirlmagic"" + 0.007*""wakeup wewillsurvive organize"" + 0.007*""dope beautiful wakeup"" + 0.007*""melaninqueen dope beautiful"" + 0.007*""beautiful wakeup wewillsurvive"" + 0.007*""africanamerican unite justice"" + 0.006*""breakingnews goals woke"" + 0.006*""justice black melanin"" + 0.006*""justice breakingnews goals"""
9,9,"0.002*""support hillary clinton"" + 0.002*""president barack obama"" + 0.001*""people going vote"" + 0.001*""taxpayers money hillary"" + 0.001*""foundation organized crime"" + 0.001*""yeah sanders said"" + 0.001*""women alleged feminist"" + 0.001*""vote secret opinion"" + 0.001*""torture execute lgbt"" + 0.001*""state foundation husband"""
